subid,jp_id,point,lat,lon,location,location_original,
968,jp_cite_00186,,,,,,"""POINT(-9754904.512583427 5142738.901800851)"",""POINT(-8639608.304701881 5336514.46167642)"",""POINT(-9407834.986473575 4736453.151296119)"",""POINT(-9094174.610276204 5086272.578710694)"",""POINT(-9239383.505513575 4860302.011201366)"",""POINT(-9244611.024272704 5210755.6179826)"",""POINT(-9785703.877222165 5317895.079201466)"",""POINT(-9973000.345345259 4967259.405253306)"",""POINT(-9670912.698881349 4926682.369266922)"",""POINT(1185622.8750417593 6336736.808888903)"",""POINT(1606660.2286676248 6461022.145308473)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(1279939.2041591578 6239379.179002355)"",""POINT(-10363588.779221304 5142722.291352943)"",""POINT(918377.6948577381 6371222.627423867)"",""POINT(828397.8053716389 6159952.749614191)"",""POINT(1019957.8879151642 6559974.923579693)"",""POINT(1010921.6840985653 6982691.2956706965)"",""POINT(1130066.0890498909 6118923.587522439)"",""POINT(-8593255.180436589 5042377.967342213)"",""POINT(-9228394.145571535 3785070.7896179464)"",""POINT(-13293543.42450309 4408244.133335477)"",""POINT(-9653928.973604059 5102907.361454292)""}"
969,,POINT(-9754904.512583427 5142738.901800851),41.8781136,-87.6297982,"Chicago, Illinois",,
970,,POINT(-8639608.304701881 5336514.46167642),43.16103,-77.6109219,"Rochester, New York",,
971,,POINT(-9407834.986473575 4736453.151296119),39.1031182,-84.5120196,"Cincinnati, Ohio",,
972,,POINT(-9094174.610276204 5086272.578710694),41.49932,-81.6943605,"Cleveland, Ohio",,
973,,POINT(-9239383.505513575 4860302.011201366),39.9611755,-82.9987942,"Columbus, Ohio",,
974,,POINT(-9244611.024272704 5210755.6179826),42.331427,-83.0457538,"Detroit, Michigan",,
975,,POINT(-9785703.877222165 5317895.079201466),43.0389025,-87.9064736,"Milwaukee, Wisconsin",,
976,,POINT(-9973000.345345259 4967259.405253306),40.6936488,-89.5889864,"Peoria, Illionois",,
977,,POINT(-9670912.698881349 4926682.369266922),40.4167022,-86.8752869,"Lafayette, Indiana",,
978,,POINT(1185622.8750417593 6336736.808888903),49.3633273,10.6506315,"Franconia, Germany",,
